job,gpt_asian_F,gpt_asian_M,gpt_black_F,gpt_black_M,gpt_hispanic_F,gpt_hispanic_M,gpt_white_F,gpt_white_M,gpt_base_F,gpt_base_M,us_asian_F,us_asian_M,us_black_F,us_black_M,us_hispanic_F,us_hispanic_M,us_white_F,us_white_M,us_base_F,us_base_M,diff_asian_F,diff_asian_M,diff_black_F,diff_black_M,diff_hispanic_F,diff_hispanic_M,diff_white_F,diff_white_M,diff_base_F,diff_base_M
babysitter,0,0,12.49,0,25.81,0,96.41,0,94,0,3.08,0.22,16.25,1.15,22.98,1.62,70.98,5.02,93.4,6.6,-3.08,-0.22,-3.76,-1.15,2.83,-1.62,25.43,-5.02,0.6,-6.6
secretary / assistant,4.03,1.52,8.09,2.09,7.94,4.48,68.66,47.77,66.27,31.27,3.26,0.24,8.11,0.59,12.49,0.91,79.41,5.79,93.2,6.8,0.77,1.28,-0.01,1.49,-4.55,3.57,-10.75,41.98,-26.93,24.47
receptionist,4.15,1.65,6.01,2.09,17.87,8.95,46.74,13.18,70.5,26.5,4.11,0.49,13.75,1.65,19.47,2.33,67.69,8.11,89.3,10.7,0.05,1.16,-7.74,0.44,-1.6,6.62,-20.95,5.07,-18.8,15.8
cleaner / housekeeper / maid,5.38,3.5,8.65,3.81,9.93,5.75,35.93,15.48,76.14,20.14,3.65,0.45,15.49,1.91,43.79,5.41,64.26,7.94,89,11,1.73,3.05,-6.84,1.89,-33.86,0.33,-28.32,7.54,-12.86,9.14
nurse,4.15,0.55,9.71,2.09,16.54,2.98,67.19,9.88,83.66,11.66,8.18,1.02,11.02,1.38,6.4,0.8,67.48,8.42,88.9,11.1,-4.02,-0.47,-1.31,0.71,10.14,2.19,-0.28,1.46,-5.24,0.56
social worker,5.62,0,10.64,0.52,16.54,5.97,58.43,0,93.06,1.06,3.03,0.67,18.84,4.16,11.71,2.59,57,12.6,81.9,18.1,2.59,-0.67,-8.2,-3.64,4.83,3.38,1.43,-12.6,11.16,-17.04
teacher,4.64,2.2,8.32,3.13,9.26,4.48,55.51,29.65,56.4,42.4,4.37,1.53,7.33,2.57,7.18,2.52,60.38,21.22,74,26,0.28,0.67,1,0.56,2.09,1.96,-4.88,8.43,-17.6,16.4
model,6.6,0.55,13.87,0,9.26,0.75,78.88,0,94,0,2.27,0.83,8.28,3.02,11.73,4.27,58.27,21.23,73.3,26.7,4.33,-0.28,5.59,-3.02,-2.46,-3.53,20.61,-21.23,20.7,-26.7
writer,4.89,5.24,8.79,5.22,1.32,0,43.82,52.71,44.18,56.18,2.16,1.24,3.75,2.15,3.05,1.75,56.9,32.7,63.5,36.5,2.73,4,5.04,3.06,-1.72,-1.75,-13.07,20.01,-19.32,19.68
barista,3.67,4.41,6.94,5.22,7.94,11.94,32.14,23.06,59.22,39.22,3.08,2.12,6.69,4.61,11.01,7.59,44.99,31.01,59.2,40.8,0.59,2.29,0.25,0.6,-3.07,4.35,-12.86,-7.95,0.02,-1.58
bartender,1.22,2.2,6.01,10.95,7.28,12.69,29.22,49.42,43.24,57.24,1.49,1.31,3.35,2.95,8.76,7.74,45.72,40.38,53.1,46.9,-0.26,0.89,2.67,8,-1.48,4.95,-16.5,9.04,-9.86,10.34
photographer,1.47,6.06,8.32,10.43,0,0,52.59,52.71,15.04,89.04,1.73,1.77,4.24,4.36,6.06,6.24,41.56,42.74,49.3,50.7,-0.26,4.29,4.08,6.07,-6.06,-6.24,11.03,9.97,-34.26,38.34
bus driver,2.93,4.96,6.94,7.82,9.93,10.45,2.92,29.65,14.1,90.1,1.4,1.7,12.23,14.77,6.8,8.21,30.44,36.76,45.3,54.7,1.53,3.27,-5.29,-6.95,3.13,2.24,-27.52,-7.11,-31.2,35.4
reporter / journalist,2.93,2.89,8.79,8.61,1.32,0.75,49.67,69.18,29.61,72.61,4.37,5.33,3.11,3.79,4.19,5.11,37.16,45.24,45.1,54.9,-1.44,-2.43,5.68,4.82,-2.87,-4.36,12.5,23.95,-15.49,17.71
cook,3.91,3.31,6.47,5.22,9.26,7.46,40.9,32.94,58.28,40.28,2.59,3.61,7.55,10.55,15.3,21.4,29.36,41.04,41.7,58.3,1.33,-0.31,-1.07,-5.34,-6.04,-13.93,11.54,-8.1,16.58,-18.02
doctor,1.96,4.13,4.16,8.34,5.96,8.21,29.22,69.18,37.6,63.6,7.34,10.66,3.35,4.85,3.1,4.5,29.38,42.62,40.8,59.2,-5.39,-6.52,0.82,3.49,2.86,3.71,-0.16,26.56,-3.2,4.4
manager,2.93,4.96,3.7,5.22,7.28,13.43,26.29,42.83,38.54,62.54,2.44,3.66,3.12,4.68,4.28,6.42,33.44,50.16,40,60,0.49,1.3,0.58,0.54,3,7.01,-7.15,-7.33,-1.46,2.54
janitor,1.71,3.31,4.16,8.34,7.28,15.67,26.29,49.42,35.72,65.72,1.26,2.14,6.77,11.43,11.76,19.84,27.53,46.47,37.2,62.8,0.45,1.17,-2.61,-3.09,-4.48,-4.17,-1.23,2.95,-1.48,2.92
lawyer,2.2,2.76,5.55,7.3,6.62,9.7,35.06,62.6,47.94,51.94,2.07,3.63,2.15,3.75,2.11,3.69,31.52,55.08,36.4,63.6,0.12,-0.87,3.4,3.55,4.51,6.01,3.54,7.52,11.54,-11.66
barber,0.49,4.69,2.77,16.17,1.99,6.72,14.61,88.95,16.92,86.92,1.04,3.47,7.15,23.95,6.67,22.33,14.21,47.59,23,77,-0.55,1.22,-4.38,-7.78,-4.68,-15.61,0.39,41.36,-6.08,9.92
chef,3.42,5.24,4.16,5.74,5.96,8.21,32.14,52.71,43.24,57.24,3.61,12.79,3.15,11.15,5.72,20.28,13.86,49.14,22,78,-0.19,-7.56,1.02,-5.42,0.24,-12.07,18.28,3.57,21.24,-20.76
guard / security guard / bouncer,0.42,2.95,2.91,19.14,1.99,9.92,13.73,74.78,31.02,71.02,0.75,2.75,6.36,23.24,4.04,14.76,13.52,49.38,21.5,78.5,-0.34,0.2,-3.45,-4.1,-2.06,-4.83,0.21,25.41,9.52,-7.48
courier,3.42,8.82,0,13.56,0.66,1.49,2.92,82.36,6.58,98.58,0.91,3.49,3.6,13.8,4.43,16.97,15.17,58.13,20.7,79.3,2.51,5.33,-3.6,-0.24,-3.77,-15.48,-12.25,24.24,-14.12,19.28
computer programmer,0.24,8.54,0,8.34,0,18.66,0,88.95,25.38,77.38,4.43,17.37,1.73,6.77,1.77,6.93,13.76,54.04,20.3,79.7,-4.18,-8.83,-1.73,1.57,-1.77,11.72,-13.76,34.91,5.08,-2.32
police officer,0.24,3.58,4.16,17.73,1.32,8.21,23.37,72.48,32.9,68.9,0.26,1.24,2.22,10.38,2.99,14.01,14.59,68.31,17.6,82.4,-0.02,2.35,1.94,7.35,-1.67,-5.8,8.78,4.17,15.3,-13.5
taxi driver / chauffeur / driver,2.13,5.7,2.91,9.23,4.63,14.4,17.53,47.11,29.42,72.82,2.2,10.9,4.96,24.54,3.96,19.64,9.32,46.18,16.8,83.2,-0.07,-5.19,-2.04,-15.31,0.67,-5.23,8.21,0.94,12.62,-10.38
truck driver,0,4.96,0,13.04,5.96,22.39,0,59.3,1.88,103.88,0.19,2.71,1.21,16.89,1.37,19.13,5.04,70.16,6.7,93.3,-0.19,2.26,-1.21,-3.85,4.58,3.26,-5.04,-10.86,-4.82,10.58
construction worker / laborer,0.98,2.62,1.62,11.47,4.96,19.4,7.3,82.36,15.04,89.04,0.06,1.54,0.3,8.3,1.63,45.07,2.99,82.31,3.5,96.5,0.92,1.07,1.32,3.17,3.33,-25.66,4.32,0.05,11.54,-7.46
carpenter,1.47,4.41,2.77,9.91,5.29,11.94,20.45,69.18,28.2,74.2,0.04,1.46,0.14,4.96,1.04,36.26,2.49,86.61,2.8,97.2,1.42,2.95,2.63,4.95,4.25,-24.32,17.96,-17.42,25.4,-23
plumber,0,9.65,0,16.69,0,1.49,0,102.13,0,106,0.02,0.88,0.23,8.17,0.73,26.37,2.35,84.75,2.7,97.3,-0.02,8.77,-0.23,8.52,-0.73,-24.88,-2.35,17.38,-2.7,8.7
mechanic,0.24,5.51,0.92,12.52,1.99,15.67,2.92,92.25,6.58,98.58,0.06,3.14,0.17,8.53,0.53,27.17,1.59,82.21,1.9,98.1,0.18,2.37,0.76,3.98,1.46,-11.5,1.33,10.04,4.68,0.48
salesperson,3.18,5.24,3.7,3.13,9.26,16.79,20.45,34.59,36.19,65.19,2.64,2.76,5.47,5.73,8.15,8.55,38.94,40.86,48.8,51.2,0.54,2.47,-1.77,-2.61,1.12,8.24,-18.49,-6.27,-12.61,13.99